Index,Symbol,Company Name,Market Cap,Last Sale,% Change,Revenue
2552,SAGT,Sagtec Global Limited,35.77M,2.850,-6.25%,8.87M
2553,AWRE,"Aware, Inc.",35.65M,1.690,0.60%,17.39M
2554,SCOR,"comScore, Inc.",35.57M,7.24,-0.28%,356.05M
2555,DIST,Distoken Acquisition Corporation,35.55M,11.11,,
2556,CLGN,CollPlant Biotechnologies Ltd.,35.51M,3.100,0.87%,650.00K
2557,NRXP,"NRx Pharmaceuticals, Inc.",35.18M,2.080,0.48%,
2558,HHS,"Harte Hanks, Inc.",35.17M,4.860,5.19%,185.24M
2559,MTEN,Mingteng International Corporation Inc.,34.95M,5.63,4.94%,9.14M
2560,SDST,Stardust Power Inc.,34.80M,0.660,-1.48%,
2561,FOXX,Foxx Development Holdings Inc.,34.73M,4.770,0.21%,42.99M
2562,CLPS,CLPS Incorporation,34.70M,1.240,7.36%,153.82M
2563,CLNN,Clene Inc.,34.47M,4.140,-3.04%,421.00K
2564,PXS,Pyxis Tankers Inc.,34.39M,3.280,-0.61%,51.54M
2565,CASI,"CASI Pharmaceuticals, Inc.",34.30M,2.214,-3.74%,22.06M
2566,LVTX,LAVA Therapeutics N.V.,34.19M,1.300,,7.35M
2567,RNXT,"RenovoRx, Inc.",34.14M,0.960,-3.21%,
2568,RAYA,Erayak Power Solution Group Inc.,33.88M,1.210,-2.42%,22.82M
2569,GBIO,Generation Bio Co.,33.71M,0.503,-2.50%,19.89M
2570,NISN,"Nisun International Enterprise Development Group Co., Ltd",33.24M,7.31,2.24%,452.26M
2571,MNY,MoneyHero Limited,33.24M,0.800,-2.44%,90.19M
2572,MDAI,"Spectral AI, Inc.",33.16M,1.700,2.41%,27.26M
2573,FCUV,Focus Universal Inc.,33.08M,4.890,13.72%,398.14K
2574,NIXX,"Nixxy, Inc.",32.80M,2.270,1.79%,668.69K
2575,ATHE,Alterity Therapeutics Limited,32.71M,3.770,-3.83%,2.30M
2576,BEEM,Beam Global,32.65M,2.210,0.91%,60.88M
2577,FLUX,"Flux Power Holdings, Inc.",32.53M,1.950,20.00%,60.79M
2578,UONEK,"Urban One, Inc.",32.45M,0.690,-0.13%,452.89M
2579,GDC,GD Culture Group Limited,32.43M,2.640,12.34%,
2580,ZCMD,Zhongchao Inc.,32.28M,1.280,2.40%,17.41M
2581,AGFY,Agrify Corporation,32.15M,18.44,-4.46%,9.68M
2582,BWEN,"Broadwind, Inc.",32.14M,1.440,0.70%,143.14M
2583,EDRY,EuroDry Ltd.,31.95M,11.30,1.65%,61.08M
2584,FGEN,"FibroGen, Inc.",31.79M,0.315,-6.39%,29.62M
2585,NMTC,NeuroOne Medical Technologies Corporation,31.79M,1.030,3.00%,5.75M
2586,HUIZ,Huize Holding Limited,31.74M,3.200,-0.31%,170.93M
2587,XOS,"Xos, Inc.",31.72M,3.950,6.47%,62.86M
2588,NXL,"Nexalin Technology, Inc.",31.66M,2.380,-4.03%,168.72K
2589,MOBX,"Mobix Labs, Inc.",31.63M,0.855,-0.70%,9.33M
2590,BANL,CBL International Limited,31.50M,1.145,4.12%,521.17M
2591,RDI,"Reading International, Inc.",31.40M,1.400,-4.76%,197.27M
2592,COOT,Australian Oilseeds Holdings Limited,31.35M,1.350,1.50%,23.79M
2593,DALN,DallasNews Corporation,31.26M,5.70,0.53%,125.39M
2594,AERT,"Aeries Technology, Inc",31.19M,0.700,6.17%,70.85M
2595,PASG,"Passage Bio, Inc.",31.14M,0.501,5.27%,
2596,SHOT,"Safety Shot, Inc.",31.09M,0.467,-1.06%,652.50K
2597,LEXX,Lexaria Bioscience Corp.,31.07M,1.770,12.03%,496.92K
2598,GROW,"U.S. Global Investors, Inc.",30.98M,2.320,2.20%,9.42M
2599,PLUR,Pluri Inc.,30.79M,4.400,-1.12%,678.00K
2600,UBX,"Unity Biotechnology, Inc.",30.78M,1.825,7.35%,
2601,VIVK,"Vivakor, Inc.",30.61M,0.910,-3.19%,61.99M
2602,OSRH,"OSR Holdings, Inc.",30.49M,1.710,7.55%,
2603,SGRP,"SPAR Group, Inc.",30.47M,1.370,0.74%,228.87M
2604,COCH,"Envoy Medical, Inc.",30.45M,1.430,,278.00K
2605,MODV,ModivCare Inc.,30.40M,2.120,-2.53%,2.79B
2606,INTS,"Intensity Therapeutics, Inc.",30.36M,2.000,3.63%,
2607,AACG,ATA Creativity Global,30.35M,0.980,6.64%,35.75M
2608,OVID,Ovid Therapeutics Inc.,30.21M,0.425,-1.28%,566.00K
2609,GDTC,CytoMed Therapeutics Limited,30.12M,2.610,-1.88%,330.25K
2610,POCI,"Precision Optics Corporation, Inc.",30.11M,4.730,4.42%,18.68M
2611,APWC,Asia Pacific Wire & Cable Corporation Limited,30.10M,1.460,-4.57%,468.13M
2612,WVVI,"Willamette Valley Vineyards, Inc.",30.09M,6.06,0.17%,39.26M
2613,PMEC,Primech Holdings Ltd.,29.87M,0.785,0.63%,72.52M
2614,FTEK,"Fuel Tech, Inc.",29.66M,0.966,-1.14%,25.13M
2615,KTCC,Key Tronic Corporation,29.60M,2.750,-1.08%,514.39M
2616,OCC,Optical Cable Corporation,29.43M,3.590,6.53%,67.56M
2617,ASBP,"Aspire Biopharma Holdings, Inc.",29.32M,0.630,-8.40%,
2618,BTCS,BTCS Inc.,29.32M,1.690,-6.11%,4.07M
2619,INLF,INLIF Limited,29.00M,1.990,-13.10%,14.52M
2620,NEHC,"New Era Helium, Inc.",28.96M,2.200,-6.78%,558.72K
2621,YHGJ,Yunhong Green CTI Ltd.,28.95M,1.120,7.69%,18.56M
2622,CETY,"Clean Energy Technologies, Inc.",28.86M,0.630,1.61%,11.78M
2623,PYPD,PolyPid Ltd.,28.64M,2.810,-1.41%,
2624,DRIO,DarioHealth Corp.,28.60M,0.688,-2.47%,27.04M
2625,FPAY,"FlexShopper, Inc.",28.54M,1.330,-14.19%,134.56M
2626,NTWK,"NetSol Technologies, Inc.",28.36M,2.430,1.25%,62.05M
2627,HSON,"Hudson Global, Inc.",28.33M,10.30,-0.87%,140.06M
2628,SNYR,Synergy CHC Corp.,28.20M,3.240,3.85%,37.78M
2629,ECDA,"ECD Automotive Design, Inc.",28.04M,0.775,9.15%,25.73M
2630,HBIO,"Harvard Bioscience, Inc.",28.04M,0.640,-2.74%,94.14M
2631,AAME,Atlantic American Corporation,27.95M,1.370,-4.86%,185.93M
2632,RLYB,Rallybio Corporation,27.88M,0.672,-4.00%,636.00K
2633,LGVN,Longeveron Inc.,27.62M,1.850,5.11%,2.39M
2634,MTC,"MMTec, Inc.",27.45M,1.090,3.75%,-1.99M
2635,SWIN,Solowin Holdings,27.41M,1.695,-8.38%,2.42M
2636,NSYS,Nortech Systems Incorporated,27.40M,9.94,0.40%,135.57M
2637,EQ,"Equillium, Inc.",27.39M,0.773,-3.38%,45.91M
2638,VRAR,"The Glimpse Group, Inc.",27.36M,1.300,5.69%,9.23M
2639,CENN,Cenntro Inc.,27.29M,0.884,-4.30%,37.05M
2640,MLEC,Moolec Science SA,27.29M,0.710,-1.42%,5.44M
2641,PULM,"Pulmatrix, Inc.",27.28M,7.47,-1.71%,7.81M
2642,TNMG,TNL Mediagene,27.15M,1.040,6.47%,
2643,CALC,"CalciMedica, Inc.",27.10M,2.010,-4.29%,
2644,ARBK,Argo Blockchain plc,27.08M,0.379,-1.88%,52.87M
2645,COEP,"Coeptis Therapeutics Holdings, Inc.",27.06M,9.50,-3.06%,
2646,ORIS,Oriental Rise Holdings Limited,26.86M,1.220,10.91%,16.75M
2647,PEV,Phoenix Motor Inc.,26.76M,0.585,-2.56%,26.12M
2648,SURG,"SurgePays, Inc.",26.64M,1.340,-0.74%,83.60M
2649,INTG,The InterGroup Corporation,26.64M,12.36,1.31%,59.66M
2650,AXDX,"Accelerate Diagnostics, Inc.",26.55M,1.060,-6.19%,11.70M
2651,NXPL,NextPlat Corp,26.48M,1.020,5.73%,66.48M
2652,DRRX,DURECT Corporation,26.35M,0.849,6.12%,8.59M
2653,OESX,"Orion Energy Systems, Inc.",26.10M,0.790,4.82%,85.26M
2654,CARA,"Cara Therapeutics, Inc.",26.07M,5.70,10.68%,7.14M
2655,AMPG,"AmpliTech Group, Inc.",26.00M,1.670,-7.73%,11.67M
2656,EBON,Ebang International Holdings Inc.,25.94M,4.130,-2.72%,3.59M
2657,LBGJ,Li Bang International Corporation Inc.,25.87M,1.380,-3.16%,10.79M
2658,GRCE,"Grace Therapeutics, Inc.",25.86M,2.550,-0.39%,
2659,CPSH,CPS Technologies Corporation,25.86M,1.780,7.23%,21.12M
2660,GTIM,Good Times Restaurants Inc.,25.64M,2.410,-0.52%,145.49M
2661,GLBS,Globus Maritime Limited,25.63M,1.245,-0.38%,34.87M
2662,VYNE,VYNE Therapeutics Inc.,25.51M,1.720,2.38%,501.00K
2663,DTST,Data Storage Corporation,25.46M,3.630,1.68%,25.14M
2664,GAME,"GameSquare Holdings, Inc.",25.46M,0.780,-2.62%,99.07M
2665,EHGO,Eshallgo Inc.,25.42M,0.998,-3.11%,16.96M
2666,QTTB,Q32 Bio Inc.,25.25M,2.070,-0.48%,
2667,TURB,"Turbo Energy, S.A.",25.22M,2.289,3.11%,11.66M
2668,DARE,"Daré Bioscience, Inc.",25.19M,2.895,0.52%,1.88M
2669,TLF,"Tandy Leather Factory, Inc.",25.15M,2.960,-1.33%,74.39M
2670,MLGO,MicroAlgo Inc.,25.13M,2.520,-19.23%,83.50M
2671,JUNS,"Jupiter Neurosciences, Inc.",24.99M,0.755,-2.96%,
2672,DXST,Decent Holding Inc.,24.86M,1.530,5.52%,11.54M
2673,NRSN,NeuroSense Therapeutics Ltd.,24.85M,1.070,0.24%,
2674,EPOW,"Sunrise New Energy Co., Ltd.",24.83M,0.950,1.14%,46.63M
2675,YOSH,Yoshiharu Global Co.,24.77M,17.17,1.54%,11.65M
2676,CTRM,Castor Maritime Inc.,24.74M,2.560,1.59%,76.44M
2677,SOND,Sonder Holdings Inc.,24.72M,2.240,-1.32%,624.46M
2678,SPCB,SuperCom Ltd.,24.57M,7.07,-3.42%,26.84M
2679,KFFB,Kentucky First Federal Bancorp,24.26M,3.000,-0.99%,7.99M
2680,CMMB,Chemomab Therapeutics Ltd.,24.14M,1.280,-5.19%,
2681,TPCS,TechPrecision Corporation,23.77M,2.430,-6.18%,33.18M
2682,XAIR,"Beyond Air, Inc.",23.68M,0.268,1.63%,3.02M
2683,OCG,Oriental Culture Holding LTD,23.58M,1.270,-0.08%,1.23M
2684,CDIO,"Cardio Diagnostics Holdings, Inc.",23.47M,0.450,2.27%,34.89K
2685,BTCT,BTC Digital Ltd.,23.12M,4.400,-4.56%,8.48M
2686,RMSG,Real Messenger Corporation,23.11M,2.210,4.25%,
2687,DAIO,Data I/O Corporation,23.09M,2.500,2.88%,21.77M
2688,ABP,"Abpro Holdings, Inc.",23.06M,0.456,-0.50%,230.00K
2689,MGRX,"Mangoceuticals, Inc.",23.05M,4.460,2.53%,615.87K
2690,INTZ,Intrusion Inc.,23.02M,1.190,-7.75%,5.77M
2691,MOGO,Mogo Inc.,23.02M,0.950,-1.03%,32.03M
2692,NAII,"Natural Alternatives International, Inc.",23.01M,3.890,7.76%,121.85M
2693,ENLV,Enlivex Therapeutics Ltd.,22.98M,1.045,-4.13%,
2694,JVA,"Coffee Holding Co., Inc.",22.95M,4.020,-7.37%,80.33M
2695,MKZR,"MacKenzie Realty Capital, Inc.",22.94M,1.640,-4.09%,23.09M
2696,FGF,Fundamental Global Inc.,22.92M,18.12,-2.05%,22.35M
2697,FGL,Founder Group Limited,22.84M,1.350,-2.17%,23.27M
2698,IXHL,Incannex Healthcare Inc.,22.83M,0.829,-1.66%,98.00K
2699,CJMB,Callan JMB Inc.,22.80M,5.13,-4.11%,6.88M
2700,UTSI,UTStarcom Holdings Corp.,22.65M,2.400,,14.96M
2701,CRIS,"Curis, Inc.",22.52M,2.660,-3.27%,10.26M
2702,ALLK,Allakos Inc.,22.32M,0.250,-0.68%,
2703,FTHM,Fathom Holdings Inc.,22.28M,0.980,5.38%,335.18M
2704,CMBM,Cambium Networks Corporation,22.24M,0.787,3.05%,172.22M
2705,ARBB,ARB IOT Group Limited,22.21M,0.840,2.44%,12.33M
2706,HUDI,"Huadi International Group Co., Ltd.",22.21M,1.555,-0.32%,74.27M
2707,LDTC,LeddarTech Holdings Inc.,22.08M,0.597,-1.94%,332.00K
2708,NWGL,Nature Wood Group Limited,22.02M,1.330,-6.99%,21.71M
2709,BOSC,B.O.S. Better Online Solutions Ltd.,22.01M,3.820,-0.77%,40.45M
2710,PCLA,PicoCELA Inc.,21.98M,0.891,5.38%,5.48M
2711,BGFV,Big 5 Sporting Goods Corporation,21.74M,0.990,1.59%,795.47M
2712,AMOD,"Alpha Modus Holdings, Inc.",21.71M,1.740,-11.22%,
2713,QMMM,QMMM Holdings Limited,21.68M,1.260,-4.55%,2.70M
2714,MSS,Maison Solutions Inc.,21.66M,1.100,3.77%,111.74M
2715,IZM,ICZOOM Group Inc.,21.59M,1.840,5.75%,177.93M
2716,LIVE,Live Ventures Incorporated,21.47M,6.91,2.37%,466.76M
2717,CREX,"Creative Realities, Inc.",21.31M,2.040,-2.86%,50.85M
2718,VVOS,"Vivos Therapeutics, Inc.",21.20M,3.605,2.71%,14.58M
2719,MIRA,"MIRA Pharmaceuticals, Inc.",21.20M,1.280,4.92%,
2720,CVV,CVD Equipment Corporation,21.20M,3.080,-2.53%,26.88M
2721,PMN,"ProMIS Neurosciences, Inc.",20.92M,0.640,-3.31%,
2722,HTCR,"HeartCore Enterprises, Inc.",20.80M,0.994,-6.25%,30.29M
2723,BIVI,BioVie Inc.,20.67M,1.120,-2.61%,
2724,CHR,"Cheer Holding, Inc.",20.63M,1.700,-3.41%,147.20M
2725,BCAB,"BioAtla, Inc.",20.38M,0.351,-2.17%,11.00M
2726,NXGL,"NEXGEL, Inc.",20.30M,2.700,1.50%,6.73M
2727,CYTH,"Cyclo Therapeutics, Inc.",20.14M,0.700,2.94%,870.73K
2728,IPW,iPower Inc.,20.13M,0.640,12.48%,80.84M
2729,GFAI,"Guardforce AI Co., Limited",20.12M,1.130,,35.84M
2730,RAY,Raytech Holding Limited,20.08M,1.140,6.54%,9.94M
2731,CCTG,CCSC Technology International Holdings Limited,20.04M,1.730,-1.98%,16.46M
2732,LSTA,"Lisata Therapeutics, Inc.",20.01M,2.380,4.36%,1.00M
2733,RENT,"Rent the Runway, Inc.",19.95M,5.14,-21.53%,305.60M
2734,IINN,Inspira Technologies Oxy B.H.N. Ltd.,19.85M,0.775,6.91%,
2735,VCIG,VCI Global Limited,19.79M,0.729,-12.12%,23.55M
2736,ZOOZ,ZOOZ Power Ltd.,19.61M,1.620,-2.41%,1.04M
2737,CDTG,CDT Environmental Technology Investment Holdings Limited,19.49M,1.800,-0.55%,31.43M
2738,MTEK,Maris-Tech Ltd.,19.43M,2.466,-1.36%,6.97M
2739,IPA,ImmunoPrecise Antibodies Ltd.,19.37M,0.427,-4.30%,17.27M
2740,PSHG,Performance Shipping Inc.,19.27M,1.550,-0.64%,87.45M
2741,INHD,Inno Holdings Inc.,19.05M,4.320,-5.26%,916.88K
2742,VSEE,"VSee Health, Inc.",18.95M,1.210,-1.63%,8.06M
2743,LPCN,Lipocine Inc.,18.94M,3.540,1.14%,11.20M
2744,INAB,"IN8bio, Inc.",18.91M,0.233,-0.09%,
2745,CGTX,"Cognition Therapeutics, Inc.",18.90M,0.455,6.61%,
2746,JFU,9F Inc.,18.84M,1.600,5.96%,40.61M
2747,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",18.83M,0.450,-15.27%,324.70M
2748,AIFU,AIX Inc.,18.79M,0.330,3.03%,324.92M
2749,CAPT,Captivision Inc.,18.68M,0.577,-6.88%,17.39M
2750,SWAG,"Stran & Company, Inc.",18.59M,0.999,-0.10%,78.60M
2751,GYRO,"Gyrodyne, LLC",18.59M,8.45,1.20%,2.74M
2752,ELBM,Electra Battery Materials Corporation,18.57M,1.230,5.13%,
2753,FTEL,Fitell Corporation,18.39M,0.879,-2.01%,4.47M
2754,ZBAI,ATIF Holdings Limited,18.36M,1.060,0.95%,670.00K
2755,MGIH,Millennium Group International Holdings Limited,18.34M,1.630,-2.40%,38.53M
2756,LFWD,Lifeward Ltd.,18.28M,1.720,-8.02%,25.66M
2757,MTEX,"Mannatech, Incorporated",18.28M,9.70,-1.02%,121.55M
2758,SISI,"Shineco, Inc.",18.21M,1.060,,11.07M
2759,TOMZ,"TOMI Environmental Solutions, Inc.",18.20M,0.909,9.53%,8.20M
2760,YQ,17 Education & Technology Group Inc.,18.15M,2.335,1.08%,28.51M
2761,KSCP,"Knightscope, Inc.",18.11M,4.300,-3.37%,11.01M
2762,CREG,Smart Powerr Corp.,17.99M,0.735,3.48%,
2763,KIRK,"Kirkland's, Inc.",17.97M,1.360,1.49%,458.41M
2764,JZ,Jianzhi Education Technology Group Company Limited,17.97M,0.890,-10.04%,50.81M
2765,WETH,Wetouch Technology Inc.,17.90M,1.500,9.49%,41.02M
2766,STI,Solidion Technology Inc.,17.80M,0.144,-2.76%,5.33K
2767,ELEV,"Elevation Oncology, Inc.",17.77M,0.300,7.95%,
2768,MDRR,"Medalist Diversified REIT, Inc.",17.77M,12.26,-2.47%,9.74M
2769,FAAS,DigiAsia Corp.,17.70M,0.303,-9.55%,57.73M
2770,GIGM,GigaMedia Limited,17.68M,1.600,,3.09M
2771,SCNX,"Scienture Holdings, Inc.",17.59M,2.010,18.93%,-351.61K
2772,ORKT,Orangekloud Technology Inc.,17.52M,0.770,2.67%,3.90M
2773,SANW,S&W Seed Company,17.44M,8.13,6.00%,54.81M
2774,XHG,XChange TEC.INC,17.43M,0.849,0.95%,41.11M
2775,GLYC,"GlycoMimetics, Inc.",17.42M,0.270,-0.52%,
2776,GWAV,"Greenwave Technology Solutions, Inc.",17.38M,0.286,0.67%,33.92M
2777,EDSA,"Edesa Biotech, Inc.",17.34M,2.500,1.21%,
2778,CARM,"Carisma Therapeutics, Inc.",17.27M,0.414,-0.43%,20.27M
2779,GV,Visionary Holdings Inc.,17.24M,4.670,-12.05%,9.38M
2780,LEDS,SemiLEDs Corporation,17.23M,2.108,1.84%,4.79M
2781,RMCO,Royalty Management Holding Corporation,17.17M,1.150,10.61%,695.79K
2782,GTEC,Greenland Technologies Holding Corporation,17.13M,1.260,,87.35M
2783,GP,GreenPower Motor Company Inc.,17.06M,0.570,-4.04%,20.66M
2784,SHFS,"SHF Holdings, Inc.",17.04M,0.306,16.52%,15.66M
2785,CLRB,"Cellectar Biosciences, Inc.",17.00M,0.369,-2.92%,
2786,SDOT,Sadot Group Inc.,16.95M,2.890,-2.53%,700.94M
2787,HOVR,New Horizon Aircraft Ltd.,16.86M,0.540,-7.78%,
2788,NCRA,"Nocera, Inc.",16.82M,1.200,27.66%,20.48M
2789,IPM,Intelligent Protection Management Corp.,16.81M,1.820,-6.67%,9.64M
2790,BOLT,"Bolt Biotherapeutics, Inc.",16.80M,0.439,-0.23%,9.78M
2791,TRSG,Tungray Technologies Inc.,16.68M,1.020,-17.74%,14.44M
2792,BCTX,BriaCell Therapeutics Corp.,16.65M,4.470,0.22%,
2793,BFRG,"Bullfrog AI Holdings, Inc.",16.57M,1.760,-2.22%,
2794,PTLE,PTL Limited,16.49M,1.300,-6.47%,108.13M
2795,DTSS,Datasea Inc.,16.48M,2.200,5.57%,47.28M
2796,IRIX,IRIDEX Corporation,16.47M,0.990,25.30%,48.43M
2797,EDTK,Skillful Craftsman Education Technology Limited,16.41M,1.030,-5.18%,624.37K
2798,NEPH,"Nephros, Inc.",16.34M,1.550,3.33%,14.16M
2799,DPRO,Draganfly Inc.,16.31M,2.980,-4.79%,4.34M
2800,BOF,BranchOut Food Inc.,16.26M,2.070,6.15%,6.49M
2801,DHAI,"DIH Holding US, Inc.",16.25M,0.393,12.61%,69.57M
2802,RAIN,"Rain Enhancement Technologies Holdco, Inc.",16.11M,2.140,1.90%,
2803,PT,Pintec Technology Holdings Limited,16.09M,1.010,-0.98%,4.48M
2804,GLXG,Galaxy Payroll Group Limited,16.03M,0.890,9.66%,3.86M
2805,NXTC,"NextCure, Inc.",15.96M,0.565,-8.02%,
2806,TAIT,Taitron Components Incorporated,15.96M,2.650,3.86%,4.34M
2807,REBN,"Reborn Coffee, Inc.",15.94M,4.340,-8.44%,5.50M
2808,ICU,SeaStar Medical Holding Corporation,15.89M,2.220,7.77%,68.00K
2809,SABS,"SAB Biotherapeutics, Inc.",15.87M,1.720,8.18%,1.51M
2810,COCP,"Cocrystal Pharma, Inc.",15.87M,1.560,0.65%,
2811,LRE,"Lead Real Estate Co., Ltd",15.82M,1.160,0.87%,117.80M
2812,ELSE,"Electro-Sensors, Inc.",15.80M,4.580,1.10%,9.37M
2813,SOWG,Sow Good Inc.,15.78M,1.540,-44.00%,31.99M
2814,CXAI,CXApp Inc.,15.69M,0.953,-1.55%,7.20M
2815,HOOK,HOOKIPA Pharma Inc.,15.68M,1.250,1.63%,43.95M
2816,SIDU,"Sidus Space, Inc.",15.54M,1.580,-5.39%,5.19M
2817,ATER,"Aterian, Inc.",15.52M,2.120,-9.79%,99.05M
2818,EHLD,Euroholdings Ltd.,15.50M,5.50,-10.28%,
2819,JCTC,Jewett-Cameron Trading Company Ltd.,15.48M,4.400,1.15%,46.61M
2820,TIRX,Tian Ruixiang Holdings Ltd,15.46M,1.520,10.14%,3.22M
2821,MYNZ,Mainz Biomed N.V.,15.43M,4.580,-4.58%,917.20K
2822,XTKG,"X3 Holdings Co., Ltd.",15.42M,1.120,-0.88%,15.23M
2823,SOHO,Sotherly Hotels Inc.,15.38M,0.770,-3.50%,181.89M
2824,LPTX,"Leap Therapeutics, Inc.",15.37M,0.401,-2.22%,
2825,MEIP,"MEI Pharma, Inc.",15.32M,2.300,-0.43%,
2826,SYBX,"Synlogic, Inc.",15.20M,1.300,,8.00K
2827,PWM,Prestige Wealth Inc.,15.20M,0.481,-7.60%,639.91K
2828,AQMS,"Aqua Metals, Inc.",15.19M,2.130,3.90%,
2829,CLRO,"ClearOne, Inc.",15.17M,0.633,1.61%,12.58M
2830,GLBZ,Glen Burnie Bancorp,15.17M,5.23,4.18%,11.25M
2831,ONMD,OneMedNet Corporation,15.11M,0.540,-6.90%,957.65K
2832,JDZG,JIADE Limited,15.08M,0.615,-1.84%,2.33M
2833,BLIN,"Bridgeline Digital, Inc.",15.04M,1.440,-1.03%,15.39M
2834,SFHG,Samfine Creation Holdings Group Limited,15.02M,0.740,-5.14%,19.01M
2835,JL,J-Long Group Limited,15.01M,4.780,-0.42%,32.83M
2836,PGHL,Primega Group Holdings Limited,14.94M,0.623,-6.01%,17.17M
2837,PC,Premium Catering (Holdings) Limited,14.88M,0.930,1.09%,3.81M
2838,JBDI,JBDI Holdings Limited,14.87M,0.751,10.50%,9.39M
2839,BNAI,"Brand Engagement Network, Inc.",14.81M,0.390,2.63%,135.00K
2840,CODX,"Co-Diagnostics, Inc.",14.72M,0.470,-3.89%,7.32M
2841,AFMD,Affimed N.V.,14.56M,0.888,-1.00%,6.29M
2842,SMSI,"Smith Micro Software, Inc.",14.52M,0.817,2.25%,20.56M
2843,TKLF,"Tokyo Lifestyle Co., Ltd.",14.51M,3.428,1.42%,219.52M
2844,SLGL,Sol-Gel Technologies Ltd.,14.49M,0.520,-9.88%,11.71M
2845,BLBX,Blackboxstocks Inc.,14.24M,4.020,5.79%,2.57M
2846,MOB,Mobilicom Limited,14.23M,2.240,-2.18%,3.46M
2847,UBXG,U-BX Technology Ltd.,14.22M,4.200,9.94%,51.60M
2848,ADN,"Advent Technologies Holdings, Inc.",13.95M,5.29,-0.94%,8.16M
2849,SPRB,"Spruce Biosciences, Inc.",13.90M,0.337,0.18%,7.10M
2850,ERNA,Eterna Therapeutics Inc.,13.82M,0.264,-2.25%,582.00K
2851,IMNN,"Imunon, Inc.",13.78M,0.950,-0.41%,
2852,SEED,Origin Agritech Limited,13.75M,1.910,3.24%,16.16M
2853,PETZ,"TDH Holdings, Inc.",13.73M,1.330,-2.21%,3.28M
2854,LIQT,"LiqTech International, Inc.",13.70M,1.450,-2.03%,15.13M
2855,HKPD,Hong Kong Pharma Digital Technology Holdings Limited,13.64M,1.240,-8.82%,16.69M
2856,MOVE,Movano Inc.,13.60M,2.050,-5.96%,902.00K
2857,HCWB,HCW Biologics Inc.,13.53M,0.300,-0.17%,3.50M
2858,OXBR,Oxbridge Re Holdings Limited,13.51M,2.170,-7.26%,-1.78M
2859,CWD,CaliberCos Inc.,13.48M,0.600,-7.69%,66.38M
2860,SKYQ,Sky Quarry Inc.,13.42M,0.714,-1.69%,30.77M
2861,SKK,SKK Holdings Limited,13.42M,0.859,-6.32%,8.63M
2862,OMEX,"Odyssey Marine Exploration, Inc.",13.40M,0.460,7.00%,799.14K
2863,MRKR,"Marker Therapeutics, Inc.",13.39M,1.250,,5.40M
2864,MTVA,MetaVia Inc.,13.35M,1.550,,
2865,USEA,United Maritime Corporation,13.27M,1.505,-5.35%,45.44M
2866,HYFM,"Hydrofarm Holdings Group, Inc.",13.15M,2.850,-1.38%,190.29M
2867,BHAT,Blue Hat Interactive Entertainment Technology,13.09M,2.650,-1.85%,40.46M
2868,CING,Cingulate Inc.,13.08M,3.960,-3.18%,
2869,CTXR,"Citius Pharmaceuticals, Inc.",13.06M,1.520,-1.94%,
2870,LTRY,Lottery.com Inc.,13.06M,1.080,-1.82%,6.14M
2871,FEAM,"5E Advanced Materials, Inc.",13.00M,4.200,,
2872,APRE,"Aprea Therapeutics, Inc.",12.99M,2.390,-1.24%,1.31M
2873,FRSX,Foresight Autonomous Holdings Ltd.,12.99M,0.704,3.07%,473.00K
2874,ATHA,"Athira Pharma, Inc.",12.97M,0.332,0.97%,
2875,LIDR,"AEye, Inc.",12.90M,0.690,-0.04%,202.00K
2876,GTI,Graphjet Technology,12.89M,0.0870,-12.03%,
2877,STRM,"Streamline Health Solutions, Inc.",12.85M,3.170,0.63%,18.59M
2878,CSCI,COSCIENS Biopharma Inc.,12.81M,3.200,-6.71%,4.83M
2879,BLRX,BioLineRx Ltd.,12.65M,3.580,4.68%,21.99M
2880,SPHL,Springview Holdings Ltd,12.64M,0.588,-10.24%,11.02M
2881,NERV,"Minerva Neurosciences, Inc.",12.59M,1.800,4.05%,
2882,ADGM,"Adagio Medical Holdings, Inc.",12.57M,0.857,-0.96%,543.00K
2883,BMRA,"Biomerica, Inc.",12.56M,0.685,-3.48%,5.58M
2884,FBGL,FBS Global Limited,12.51M,0.927,-13.36%,15.61M
2885,EKSO,"Ekso Bionics Holdings, Inc.",12.41M,0.500,11.11%,17.93M
2886,FEBO,Fenbo Holdings Limited,12.39M,1.120,-2.61%,16.32M
2887,DLPN,"Dolphin Entertainment, Inc.",12.39M,1.110,7.77%,51.39M
2888,GOVX,"GeoVax Labs, Inc.",12.36M,1.310,-2.96%,3.09M
2889,NXU,"Nxu, Inc.",12.35M,0.279,9.41%,18.00K
2890,TRIB,Trinity Biotech plc,12.33M,0.691,2.43%,59.13M
2891,SNSE,"Sensei Biotherapeutics, Inc.",12.32M,0.470,2.13%,
2892,PET,Wag! Group Co.,12.26M,0.246,4.59%,76.75M
2893,CNTM,"ConnectM Technology Solutions, Inc.",12.22M,0.579,-3.50%,21.79M
2894,BCDA,"BioCardia, Inc.",12.19M,2.660,7.69%,71.00K
2895,BRTX,"BioRestorative Therapies, Inc.",12.18M,1.760,2.92%,377.00K
2896,DWTX,"Dogwood Therapeutics, Inc.",12.10M,6.33,-7.32%,
2897,FLGC,Flora Growth Corp.,12.04M,0.620,-5.67%,64.15M
2898,PITA,Heramba Electric plc,12.03M,0.253,-2.69%,
